year,valid_rows,sample_rows,sample_ratio,source_file
2012,20968451,15000,0.00071536,fire_archive_SV-C2_2012.csv
2013,19404646,15000,0.00077301,fire_archive_SV-C2_2013.csv
2014,20314546,15000,0.00073839,fire_archive_SV-C2_2014.csv
2015,21451757,15000,0.00069924,fire_archive_SV-C2_2015.csv
2016,20358130,15000,0.00073681,fire_archive_SV-C2_2016.csv
2017,20087513,15000,0.00074673,fire_archive_SV-C2_2017.csv
2018,19170193,15000,0.00078246,fire_archive_SV-C2_2018.csv
2019,21095150,15000,0.00071106,fire_archive_SV-C2_2019.csv
2020,20719318,15000,0.00072396,fire_archive_SV-C2_2020.csv
2021,20347758,15000,0.00073718,fire_archive_SV-C2_2021.csv
2022,17251846,15000,0.00086947,fire_archive_SV-C2_2022.csv
2023,21842028,15000,0.00068675,fire_archive_SV-C2_2023.csv
2024,21064859,15000,0.00071209,fire_archive_SV-C2_2024.csv
2025,16320230,15000,0.00091910,fire_archive_SV-C2_2025.csv
